household_id,age,PNUM,sex,pemploy,pstudent,ptype,educ,soc2,is_student,school_segment,is_worker,is_internal_worker,is_external_worker,home_zone_id,time_factor_work,time_factor_nonwork,naics_code,occupation,work_from_home,is_out_of_home_worker,external_workplace_zone_id,external_workplace_location_logsum,external_workplace_modechoice_logsum,school_zone_id,school_location_logsum,school_modechoice_logsum,distance_to_school,roundtrip_auto_time_to_school,workplace_zone_id,workplace_location_logsum,workplace_modechoice_logsum,distance_to_work,work_zone_area_type,auto_time_home_to_work,roundtrip_auto_time_to_work,work_auto_savings,exp_daily_work,non_toll_time_work,toll_time_work,toll_dist_work,toll_cost_work,toll_travel_time_savings_work,transit_pass_subsidy,transit_pass_ownership,free_parking_at_work,telecommute_frequency,cdap_activity,travel_active,mandatory_tour_frequency,num_mand,num_work_tours,num_joint_tours,non_mandatory_tour_frequency,num_non_mand,num_escort_tours,num_eatout_tours,num_shop_tours,num_maint_tours,num_discr_tours,num_social_tours,num_add_shop_maint_tours,num_add_soc_discr_tours,person_id,miltary,grade,weeks,hours,race,hispanic
5,4.0,4.0,1,4,1,8,0,0.0,True,1,False,False,False,57,2.038295606813494,1.3849880175599512,0,null,False,False,-1,-9.0,-9.0,7925,9.160711367657555,5.90193002354384,0.4745568,3.5369382,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,M,True,school1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,1
5,4.0,5.0,2,4,1,8,0,0.0,True,1,False,False,False,57,0.6327615576648367,0.4368053482191077,0,null,False,False,-1,-9.0,-9.0,469,9.44561374237313,7.524407186249006,0.12525651,0.7514882,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,M,True,school2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,1
5,2.0,6.0,1,4,1,8,0,0.0,True,1,False,False,False,57,0.9146900851374901,0.6814239348671514,0,null,False,False,-1,-9.0,-9.0,11195,9.193948077294596,6.779980447149545,0.6835275,4.8221464,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,H,False,null,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,1
5,22.0,7.0,1,1,3,1,13,43.0,False,0,True,True,False,57,0.5513560420100004,1.1412364071682952,51,sales_office,False,True,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,13994,12.034696793740464,-3.795308672777974,28.479729,3.0,51.032772,99.58769,0.0,1.727,53.68061,48.864647,0.0,0.0,4.8159637,0,0,False,No_Telecommute,M,True,work1,1,1,0,0,0,0,0,0,0,0,0,0,0,15,0,6,1,80,1,1
6,55.0,1.0,2,3,3,4,13,0.0,False,0,False,False,False,57,1.186246049668452,0.8982945783914281,0,null,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,N,True,null,0,0,0,36,2,0,0,1,0,1,0,0,0,16,0,0,0,0,1,1
6,58.0,2.0,1,3,3,4,13,11.0,False,0,False,False,False,57,1.0413312450788357,1.4350128974127652,92,mngt_busi_scic_arts,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,N,True,null,0,0,0,6,1,0,1,0,0,0,0,0,0,17,0,0,2,40,9,1
7,85.0,1.0,1,3,3,5,13,0.0,False,0,False,False,False,57,0.28556796886313696,1.6746730224531068,0,null,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,H,False,null,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,8,2
7,62.0,2.0,1,1,3,1,13,47.0,False,0,True,True,False,57,0.7436710333137214,0.9618416810954017,92,constr_maint,False,True,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,20561,10.72148418728452,-4.089082049806431,19.501366,7.0,35.748737,72.41615,0.0,0.0,36.00928,35.748737,0.0,0.0,0.26054382,0,0,False,No_Telecommute,N,True,null,0,0,0,89,1,1,0,0,0,0,0,0,0,19,0,0,1,40,8,2
7,60.0,3.0,1,3,3,4,13,0.0,False,0,False,False,False,57,0.9352800113665724,0.8219902139105908,0,null,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,False,null,H,False,null,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,8,2
8,33.0,1.0,1,1,3,1,13,51.0,False,0,True,True,False,57,0.8929716669698478,0.35185004659861563,32,prod_trans_move,False,True,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,12593,10.897945265861733,-6.561823712399477,32.197243,3.0,54.200287,103.58684,0.0,0.0,56.848125,51.123177,0.0,0.0,5.724949,0,0,True,2_3_days_week,M,True,work1,1,1,0,1,1,0,0,0,0,1,0,0,0,21,0,0,1,40,1,2
