tour_id,person_id,tour_type,tour_type_count,tour_type_num,tour_num,tour_count,tour_category,number_of_participants,destination,origin,household_id,start,end,duration,school_esc_outbound,school_esc_inbound,num_escortees,tdd,composition,is_external_tour,is_internal_tour,destination_logsum,vehicle_occup_1,vehicle_occup_2,vehicle_occup_3_5,tour_mode,mode_choice_logsum,selected_vehicle,atwork_subtour_frequency,parent_tour_id,stop_frequency,primary_purpose
1148,22,work,1,1,1,1,mandatory,1,15287.0,57.0,8,7.0,30.0,23.0,null,null,-9.0,296.0,null,null,null,-9.0,Van_7_Gas,Van_7_Gas,Van_7_Gas,SHARED2,-2.0394297054210493,Van_7_Gas,eat,-9.0,0out_1in,work
1183,23,school,1,1,1,1,mandatory,1,16364.0,57.0,8,10.0,27.0,17.0,null,null,-9.0,413.0,null,null,null,-9.0,Van_7_Gas,Van_7_Gas,Van_7_Gas,SHARED3,-0.7495103770001376,Van_7_Gas,null,-9.0,1out_0in,school
1233,24,school,1,1,1,1,mandatory,1,4962.0,57.0,8,12.0,26.0,14.0,null,null,-9.0,487.0,null,null,null,-9.0,Car_10_Gas,Van_7_Gas,Van_7_Gas,WALK,6.60011850931725,null,null,-9.0,1out_0in,school
1283,25,school,1,1,1,1,mandatory,1,16045.0,57.0,8,12.0,28.0,16.0,null,null,-9.0,489.0,null,null,null,-9.0,Van_7_Gas,Van_7_Gas,Van_7_Gas,SHARED3,-0.3392449651836194,Van_7_Gas,null,-9.0,1out_0in,school
1479,29,othmaint,1,1,2,2,non_mandatory,1,16287.0,57.0,9,18.0,29.0,11.0,null,null,-9.0,691.0,null,False,True,12.549013019590236,Car_9_Gas,Van_11_Gas,Van_11_Gas,BIKE,-2.91003872927785,null,null,-9.0,0out_0in,othmaint
1491,29,shopping,1,1,1,2,non_mandatory,1,2465.0,57.0,9,17.0,18.0,1.0,null,null,-9.0,649.0,null,False,True,10.424236339942238,Car_9_Gas,Van_11_Gas,Van_11_Gas,DRIVEALONE,-0.1281364237789716,Car_9_Gas,null,-9.0,0out_0in,shopping
1509,30,escort,1,1,1,2,non_mandatory,1,7369.0,57.0,9,10.0,11.0,1.0,null,null,-9.0,397.0,null,False,True,14.026366184129065,Van_11_Gas,Car_9_Gas,Van_11_Gas,DRIVEALONE,-1.216935392003004,Van_11_Gas,null,-9.0,0out_0in,escort
1529,30,othmaint,1,1,2,2,non_mandatory,1,23050.0,57.0,9,19.0,28.0,9.0,null,null,-9.0,720.0,null,False,True,12.75883350227539,Car_9_Gas,Van_11_Gas,Car_9_Gas,DRIVEALONE,-1.6243008158597403,Car_9_Gas,null,-9.0,3out_2in,othmaint
1625,32,othdiscr,1,1,2,2,non_mandatory,1,12281.0,57.0,10,29.0,35.0,6.0,null,null,-9.0,972.0,null,False,True,13.194282439379387,Pickup_19_Gas,Pickup_19_Gas,Pickup_19_Gas,SHARED2,-10.184209830409545,Pickup_19_Gas,null,-9.0,0out_0in,othdiscr
1641,32,shopping,1,1,1,2,non_mandatory,1,23883.0,57.0,10,22.0,29.0,7.0,null,null,-9.0,805.0,null,False,True,9.911773924821286,SUV_20_Gas,Pickup_19_Gas,Pickup_19_Gas,WALK_LOC,-1.9618903791575257,null,null,-9.0,1out_1in,shopping
1675,33,othdiscr,1,1,1,1,non_mandatory,1,822.0,57.0,10,27.0,37.0,10.0,null,null,-9.0,933.0,null,False,True,15.45117833127587,SUV_20_Gas,Pickup_19_Gas,Pickup_19_Gas,DRIVEALONE,0.1328967618676072,SUV_20_Gas,null,-9.0,0out_0in,othdiscr
1713,34,eatout,1,1,1,1,joint,3,6315.0,57.0,11,27.0,36.0,9.0,null,null,-9.0,932.0,adults,False,True,16.071251865143676,SUV_5_Gas,SUV_5_Gas,SUV_5_Gas,SHARED3,-5.057853402931674,SUV_5_Gas,null,-9.0,1out_0in,eatout
1867,37,othmaint,1,1,1,1,joint,2,8323.0,57.0,12,28.0,28.0,0.0,null,null,-9.0,945.0,adults,False,True,11.067180447619187,Pickup_12_Gas,SUV_15_Gas,Pickup_12_Gas,SHARED2,-1.4293644435333632,SUV_15_Gas,null,-9.0,1out_0in,othmaint
1925,38,othdiscr,1,1,1,1,non_mandatory,1,16221.0,57.0,12,12.0,16.0,4.0,null,null,-9.0,477.0,null,False,True,14.010466705286099,SUV_15_Gas,SUV_15_Gas,Pickup_12_Gas,DRIVEALONE,-0.9125771244128809,SUV_15_Gas,null,-9.0,0out_1in,othdiscr
1991,39,shopping,1,1,1,1,non_mandatory,1,8216.0,57.0,13,20.0,22.0,2.0,null,null,-9.0,743.0,null,False,True,10.887077203663953,Pickup_5_Gas,Pickup_5_Gas,Pickup_5_Gas,DRIVEALONE,-3.440849884407057,Pickup_5_Gas,null,-9.0,1out_1in,shopping
2113,42,eatout,1,1,1,1,joint,3,12998.0,100.0,16,32.0,34.0,2.0,null,null,-9.0,1025.0,adults,False,True,14.154787016332467,Car_10_Gas,Car_10_Gas,Car_10_Gas,SHARED3,-49.65063968270854,Car_10_Gas,null,-9.0,1out_0in,eatout
