zone_id,mgra,pop,hhp,hh,hhs,gq_civ,gq_mil,i10,emp_gov,emp_mil,emp_ag_min,emp_bus_svcs,emp_fin_res_mgm,emp_educ,emp_hlth,emp_ret,emp_trn_wrh,emp_con,emp_utl,emp_mnf,emp_whl,emp_ent,emp_accm,emp_food,emp_oth,emp_non_ws_wfh,emp_non_ws_oth,emp_total,pseudomsa,enrollgradekto8,enrollgrade9to12,collegeenroll,othercollegeenroll,hotelroomtotal,parkactive,openspaceparkpreserve,beachactive,district27,milestocoast,acres,land_acres,effective_acres,truckregiontype,exp_hourly,exp_daily,exp_monthly,parking_type,parking_spaces,ech_dist,hch_dist,remoteAVParking,refueling_stations,MicroAccessTime,microtransit,nev,totint,duden,empden,popden,retempden,totintbin,empdenbin,dudenbin,PopEmpDenPerMi,TAZ,poe_id,external_work,external_nonwork,external_TAZ,external_MAZ,walk_dist_local_bus,walk_dist_premium_transit,micro_dist_local_bus,micro_dist_premium_transit,ML_DIST,AVGTTS,PCTDETOUR,terminal_time,household_density,population_density,is_cbd,tot_collegeenroll,preschool_target,is_parking_zone,total_emp_revised,employment_density,density_index,luz_id,hs,hs_sf,hs_mf,hs_mh,hh_sf,hh_mf,hh_mh,i1,i2,i3,i4,i5,i6,i7,i8,i9,zip09
40,40,82,82,34,2.4118,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,3,10,27,2,0,0,0,0,0,0.0,0.0,0.0,10,0.34,5.1001,5.1001,5.1001,1,0.133,0.781,6.252,2,87.4856,431101,431101,0,0,999,0.0,0.0,197.0,6.2928,8.2601,14.4687,0.4024,3,1,2,14546.4175,1571,-1.0,0.0,0.0,0.0,0.0,0.036,999999.0,0.036,2.768,11.3523,0.02197,0.0,0.0,6.666535950275485,16.078116115370285,False,0,96,False,14,5.294013842865826,2.950761814056362,94,39,39,0,0,34,0,0,1,2,1,3,2,2,5,4,4,92118
41,41,41,41,19,2.1579,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,16,26,6,0,0,0,0,0,0.0,0.0,0.0,2,0.17,1.1548,1.1548,1.1548,1,0.0,0.0,0.0,3,0.0,412601,425501,0,0,999,0.0,0.0,126.0,4.279,13.8608,9.6023,0.6288,2,2,1,15016.3645,278,-1.0,0.0,0.0,0.0,0.0,0.237,0.203,0.237,0.203,12.2743,0.0,0.0,0.0,16.453065465881537,35.50398337374437,False,0,47,False,6,22.514721163837894,9.506215602509332,154,22,2,20,0,2,17,0,0,0,1,2,1,2,2,2,3,92024
42,42,27,27,10,2.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0.0,0.0,0.0,26,0.71,2.2799,2.2799,2.2799,1,0.0,0.0,0.0,3,0.0,432801,432801,0,0,999,0.0,0.0,231.0,4.9866,6.8821,13.3108,0.3063,3,1,1,12923.468,1005,-1.0,0.0,0.0,0.0,0.0,0.264,999999.0,0.264,1.839,10.6158,0.02266,0.0,3.0,4.386157287600334,11.8426246765209,False,0,27,False,0,0.43861572876003335,0.3987415716000304,33,11,11,0,0,10,0,0,1,0,1,1,1,1,2,1,1,92106
43,43,91,91,25,3.64,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,10,14,5,0,0,0,0,0,0.0,0.0,0.0,12,7.6,6.7342,6.7342,6.7342,1,0.0,0.0,0.0,3,0.0,414901,423101,0,0,999,0.0,0.0,135.0,4.4541,2.6752,15.0485,0.0744,3,1,1,11343.2116,4052,-1.0,0.0,0.0,0.0,0.0,0.292,999999.0,0.292,3.194,12.113,0.02074,0.0,0.0,3.712393454307861,13.513112173680614,False,0,92,False,1,2.0789403344124024,1.3326540605207706,16,25,25,0,0,25,0,0,0,0,4,3,1,3,2,2,2,91977
44,44,35,35,19,1.8421,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,14,3,0,0,0,0,0,0.0,0.0,0.0,25,0.52,5.6952,5.6952,5.6952,1,0.312,1.327,10.2,2,75.5688,432801,432801,0,0,3,0.0,0.0,240.0,8.151,12.6039,16.1191,1.3934,3,2,2,18382.7189,651,-1.0,0.0,0.0,0.0,0.0,0.358,999999.0,0.358,2.643,8.6828,0.02304,0.0,0.0,3.3361427166736903,6.145526057030482,False,0,35,False,1,2.4582104228121926,1.4153332737403534,38,24,24,0,0,19,0,0,2,1,1,1,1,4,3,3,2,92109
45,45,178,178,53,3.3585,0,0,7,0,0,0,47,10,0,98,31,0,0,0,0,5,0,0,0,11,8,26,236,4,0,0,0,0,0,0.0,0.0,0.0,11,1.51,18.9866,18.9866,18.9866,1,0.0,0.0,0.0,3,0.0,411701,425901,0,1,999,0.0,0.0,87.0,4.6413,7.1586,15.046,0.5811,2,1,1,14210.9368,3193,-1.0,0.0,0.0,0.0,0.0,0.063,999999.0,0.063,1.686,15.7045,0.02191,0.0,0.0,2.791442385682534,9.375032917952662,False,0,344,False,202,12.429818924926002,2.279516965470858,101,55,21,34,0,19,34,0,0,1,6,7,2,10,10,3,7,91910
46,46,30,30,11,2.7273,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0.0,0.0,0.0,26,0.86,2.2507,2.2507,2.2507,1,0.0,0.0,0.0,3,0.0,432801,432801,0,0,999,0.0,0.0,185.0,2.7752,7.5081,7.5622,0.4143,3,1,1,9644.9598,1136,-1.0,0.0,0.0,0.0,0.0,0.142,999999.0,0.142,1.575,10.0445,0.02274,0.0,0.0,4.887368374283556,13.329186475318789,False,0,30,False,0,0.8886124316879193,0.7519028268128547,33,12,12,0,0,11,0,0,0,0,0,1,0,1,2,1,1,92106
47,47,208,171,77,2.2208,37,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,10,23,2,0,0,0,0,0,0.0,0.0,0.0,8,3.72,4.9975,4.9975,4.9975,1,0.03,0.231,1.97,2,143.7246,432801,432801,0,0,3,0.0,0.0,235.0,13.2705,6.737,28.9055,0.8435,3,1,3,22811.1769,2479,-1.0,0.0,0.0,0.0,0.0,0.256,0.256,0.256,0.256,7.0816,0.02451,0.0,0.0,15.407703851925964,41.620810405202604,False,0,211,False,3,4.602301150575288,3.543771885942972,6,81,37,44,0,35,42,0,11,10,8,16,6,13,8,3,1,92104
48,48,352,352,113,3.115,0,0,0,0,0,0,1,0,0,4,0,0,4,0,0,0,0,0,0,0,12,10,31,5,0,0,0,0,0,0.0,0.0,0.0,10,6.36,20.769,20.769,20.769,1,0.0,0.0,0.0,3,0.0,415101,423101,0,0,999,0.0,0.0,82.0,5.0461,11.2353,14.0321,2.3529,2,2,2,16171.1346,3652,-1.0,0.0,0.0,0.0,0.0,0.28,0.711,0.28,0.711,9.0184,0.02221,0.0,0.0,5.440801194087342,16.948336462997737,False,0,357,False,9,1.4926091771390053,1.1712835903938028,13,115,92,23,0,91,22,0,5,12,12,16,8,23,12,13,12,91945
49,49,225,225,168,1.3393,0,0,56,0,0,0,1,23,0,0,2,0,3,0,0,0,0,0,18,74,12,61,194,1,0,0,0,0,0,0.0,0.0,0.0,15,0.52,2.4583,2.4583,2.4583,1,5.357,19.907,128.349,1,419.0,432801,432801,0,0,3,0.0,14.0,181.0,33.0384,73.6919,54.5705,2.8352,3,3,3,82087.9426,1941,-1.0,0.0,0.0,0.0,0.0,0.087,0.232,0.087,0.232,10.2379,0.02236,0.0,0.0,68.33990969369076,91.52666476833585,True,0,323,True,121,78.9163242891429,36.62415049882875,28,244,0,244,0,0,168,0,8,3,39,6,3,4,6,4,39,92101
