zone_id,mgra,pop,hhp,hh,hhs,gq_civ,gq_mil,i10,emp_gov,emp_mil,emp_ag_min,emp_bus_svcs,emp_fin_res_mgm,emp_educ,emp_hlth,emp_ret,emp_trn_wrh,emp_con,emp_utl,emp_mnf,emp_whl,emp_ent,emp_accm,emp_food,emp_oth,emp_non_ws_wfh,emp_non_ws_oth,emp_total,pseudomsa,enrollgradekto8,enrollgrade9to12,collegeenroll,othercollegeenroll,hotelroomtotal,parkactive,openspaceparkpreserve,beachactive,district27,milestocoast,acres,land_acres,effective_acres,truckregiontype,exp_hourly,exp_daily,exp_monthly,parking_type,parking_spaces,ech_dist,hch_dist,remoteAVParking,refueling_stations,MicroAccessTime,microtransit,nev,totint,duden,empden,popden,retempden,totintbin,empdenbin,dudenbin,PopEmpDenPerMi,TAZ,poe_id,external_work,external_nonwork,external_TAZ,external_MAZ,walk_dist_local_bus,walk_dist_premium_transit,micro_dist_local_bus,micro_dist_premium_transit,ML_DIST,AVGTTS,PCTDETOUR,terminal_time,household_density,population_density,is_cbd,tot_collegeenroll,preschool_target,is_parking_zone,total_emp_revised,employment_density,density_index,luz_id,hs,hs_sf,hs_mf,hs_mh,hh_sf,hh_mf,hh_mh,i1,i2,i3,i4,i5,i6,i7,i8,i9,zip09
11,11,8,8,3,2.6667,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,10,0.55,1.2394,1.2394,1.2394,1,2.289,5.734,18.12,2,19.3816,431101,431101,0,0,999,0.0,0.0,223.0,5.028,7.7996,12.3906,0.59,3,1,2,12921.7456,1506,-1.0,0.0,0.0,0.0,0.0,0.191,999999.0,0.191,3.034,12.0751,0.02196,0.0,0.0,2.4205260609972568,6.454736162659351,False,0,8,False,0,0.0,0.0,94,4,1,3,0,1,2,0,0,0,0,0,0,0,1,0,0,92118
12,12,7,7,4,1.75,0,0,2,0,0,0,49,8,0,0,7,0,0,0,0,0,0,0,104,4,1,28,201,2,0,0,0,0,0,0.0,0.0,0.0,27,1.61,2.562,2.562,2.562,1,0.714,3.572,31.819,1,77.0,432801,432801,0,0,3,0.0,0.0,176.0,8.1495,13.2118,13.5661,0.8673,3,2,2,17137.8433,1629,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8659,0.02306,0.0,0.0,1.5612802498048401,2.7322404371584703,False,0,68,True,172,78.45433255269322,1.5308162449305995,1,4,0,4,0,0,4,0,0,0,0,0,0,1,0,0,1,92103
13,13,106,106,50,2.12,0,0,17,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,8,10,25,6,0,0,0,0,0,0.0,0.0,0.0,2,0.3,3.937,3.937,3.937,1,0.0,0.0,0.0,3,0.0,411501,425501,0,0,999,0.0,0.0,130.0,5.7282,8.4286,13.2589,0.6548,3,1,2,13880.0282,388,-1.0,0.0,0.0,0.0,0.0,0.325,999999.0,0.325,2.222,11.2416,0.0,0.0,3.0,12.700025400050801,26.924053848107697,False,0,113,False,7,6.350012700025401,4.233341800016934,151,56,32,24,0,29,21,0,2,3,4,3,0,5,6,3,7,92007
14,14,482,482,174,2.7701,0,0,25,0,0,0,2,0,1,2,0,0,5,0,0,0,0,0,0,0,13,10,33,4,0,0,0,0,0,0.0,2.3741,0.0,12,7.1,29.0009,29.0009,29.0009,1,0.0,0.0,0.0,3,0.0,411701,425901,0,0,999,0.0,0.0,37.0,6.2359,1.5473,17.2694,0.0156,1,1,2,12042.6843,4175,-1.0,0.0,0.0,0.0,0.0,0.424,999999.0,0.424,2.189,16.0536,0.02075,0.0,3.0,5.999813798882103,16.620173856673414,False,0,487,False,10,1.1378957204776403,0.9564920548942483,102,176,176,0,0,174,0,0,5,8,34,7,6,29,25,18,17,91913
15,15,87,87,25,3.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0.0,0.0,0.0,10,3.33,4.5467,4.5467,4.5467,1,0.0,0.0,0.0,3,0.0,432801,432801,0,0,999,0.0,0.0,109.0,4.0581,2.4477,14.4421,0.0155,2,1,1,10809.4757,3389,-1.0,0.0,0.0,0.0,0.0,0.276,999999.0,0.276,3.244,12.8818,0.02229,0.0,3.0,5.498493412804891,19.13475707656102,False,0,87,False,0,0.6598192095365869,0.5891242942290954,18,25,25,0,0,25,0,0,1,0,3,2,3,6,3,3,3,92139
16,16,0,0,0,0.0,0,0,0,0,0,0,9,3,0,0,8,0,0,0,4,0,0,0,0,8,0,19,51,2,0,0,0,0,0,0.0,0.0,0.0,15,0.29,3.6817,3.6817,3.6817,1,2.302,4.081,30.654,1,104.0,432801,432801,0,0,3,0.0,0.0,102.0,3.7947,12.7341,11.6442,0.8299,2,2,1,15602.0767,2129,-1.0,0.0,0.0,0.0,0.0,0.04,0.198,0.04,0.198,10.8593,0.02211,0.0,0.0,0.0,0.0,False,0,20,True,32,13.85229649346769,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92113
17,17,82,82,45,1.8222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,2,0,0,0,0,0,0.0,0.0,0.0,8,1.31,2.8896,2.8896,2.8896,1,0.623,4.832,36.381,2,83.5361,432801,432801,0,0,3,0.0,0.0,133.0,9.2289,13.0402,17.2735,0.2235,3,2,2,19400.7771,2169,-1.0,0.0,0.0,0.0,0.0,0.193,0.62,0.193,0.62,9.713,0.02217,0.0,3.0,15.573089700996677,28.377630121816168,False,0,82,False,0,1.7303433001107418,1.5573089700996678,26,51,29,22,0,23,22,0,3,2,5,5,9,7,4,4,5,92102
18,18,71,71,29,2.4483,0,0,8,0,0,0,3,10,8,0,0,0,0,0,0,0,0,0,0,0,3,37,61,2,0,0,0,0,0,0.0,0.0,0.0,10,0.08,4.687,4.687,4.687,1,0.128,0.75,6.061,2,80.1675,431101,431101,0,0,999,0.0,0.0,154.0,4.8633,4.8499,14.3036,0.2482,3,1,1,12258.2171,1527,-1.0,0.0,0.0,0.0,0.0,0.153,999999.0,0.153,3.139,11.336,0.02196,0.0,0.0,6.187326648175805,15.148282483464902,False,0,92,False,21,13.014721570300832,4.193632505985824,94,34,34,0,0,29,0,0,1,2,0,3,2,2,5,3,3,92118
19,19,30,30,17,1.7647,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,10,15,2,0,0,0,0,0,0.0,0.0,0.0,27,1.66,2.0607,2.0607,2.0607,1,0.753,3.387,30.482,2,50.8341,432801,432801,0,0,3,0.0,0.0,158.0,6.3162,7.135,11.1596,0.6851,3,1,2,11708.5337,1601,-1.0,0.0,0.0,0.0,0.0,0.077,0.262,0.077,0.262,7.9175,0.02263,0.0,0.0,8.24962391420391,14.558159848595135,False,0,30,False,2,7.279079924297568,3.867011209783083,1,17,17,0,0,17,0,0,2,2,0,1,2,2,0,1,3,92103
20,20,134,134,49,2.7347,0,0,0,346,0,0,1,5,2,0,28,0,0,0,0,17,0,0,18,2,19,24,462,2,0,0,0,0,0,0.0,0.0,0.0,10,0.91,11.3604,11.3604,11.3604,1,0.0,0.0,0.0,3,0.0,432801,432801,0,0,3,0.0,0.0,246.0,7.4029,7.9714,21.3891,0.5267,3,1,2,18790.7094,2201,-1.0,0.0,0.0,0.0,0.0,0.035,0.087,0.035,0.087,10.2979,0.02219,0.0,0.0,4.313228407450442,11.795359318333862,False,0,490,False,419,40.66758212738988,3.8996311629004,25,52,39,13,0,37,12,0,6,10,8,10,6,2,7,0,0,92113
21,21,111,111,43,2.5814,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,12,22,6,0,0,0,0,0,0.0,0.0,0.0,2,0.09,5.6167,5.6167,5.6167,1,0.0,0.0,0.0,3,0.0,418101,425501,0,0,999,0.0,0.0,64.0,3.1265,15.5555,7.1594,0.8834,1,2,1,14537.5102,422,-1.0,0.0,0.0,0.0,0.0,0.194,0.309,0.194,0.309,10.2684,0.0,0.0,0.0,7.655740915484182,19.762493991133585,False,0,112,False,1,3.916890700945395,2.5911738483177227,150,47,37,10,0,35,8,0,1,3,0,4,1,3,8,2,3,92075
22,22,48,48,21,2.2857,0,0,0,0,0,0,3,2,0,0,8,0,11,0,1,1,0,0,0,0,2,12,40,2,0,0,0,0,0,0.0,0.0,0.0,9,7.24,5.9274,5.9274,5.9274,1,0.0,0.0,0.0,3,0.0,432801,432801,0,0,3,0.0,0.0,119.0,6.6647,5.1413,16.4958,0.5394,2,1,2,13847.7208,3523,-1.0,0.0,0.0,0.0,0.0,0.166,0.789,0.166,0.789,6.9088,0.02408,0.0,0.0,3.5428687114080377,8.097985626075515,False,0,53,False,26,6.748321355062928,2.323192597644615,11,23,23,0,0,21,0,0,3,5,2,2,1,3,2,1,2,92115
23,23,92,92,27,3.4074,0,0,0,0,0,0,6,0,0,3,0,0,55,0,0,0,0,0,0,0,3,10,77,5,0,0,0,0,0,0.0,0.0,0.0,12,7.29,7.0109,7.0109,7.0109,1,0.0,0.0,0.0,3,0.0,414901,423101,0,0,999,0.0,0.0,144.0,4.2342,3.1591,13.9235,0.1199,3,1,1,10932.8183,4021,-1.0,0.0,0.0,0.0,0.0,0.037,999999.0,0.037,3.086,12.0022,0.02074,0.0,0.0,3.851146072544181,13.122423654594987,False,0,101,False,64,10.982898058737108,2.8513293037105956,16,27,15,12,0,15,12,0,2,3,2,3,3,5,2,5,2,91977
24,24,159,159,42,3.7857,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,6,10,28,2,0,0,0,0,0,0.0,0.0,0.0,10,1.44,6.9144,6.9144,6.9144,1,0.0,0.0,0.0,3,0.0,432801,432801,0,0,3,0.0,0.0,152.0,5.7353,3.2526,21.8716,0.0467,3,1,2,16079.4912,2480,-1.0,0.0,0.0,0.0,0.0,0.145,0.9,0.145,0.9,10.4844,0.02317,0.0,0.0,6.074279763970844,22.995487677889624,False,0,171,False,12,4.049519842647229,2.4297119055883374,9,44,44,0,0,42,0,0,6,6,7,7,3,5,6,1,1,92113
25,25,0,0,0,0.0,0,0,0,0,0,0,2,0,37,0,0,0,0,0,0,12,0,0,0,5,0,17,73,1,248,0,0,0,0,1.5255,0.0,0.0,15,0.44,10.995,10.995,10.995,1,4.589,19.896,135.558,1,44.0,432801,432801,0,0,3,0.0,14.0,171.0,17.6333,77.4221,33.956,1.0711,3,3,3,71282.0137,1733,-1.0,0.0,0.0,0.0,0.0,0.142,0.39,0.142,0.39,9.5203,0.0221,0.0,0.0,0.0,0.0,True,0,44,True,56,6.6393815370623015,0.0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92101
26,26,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,17,2,0,0,0,0,0,0.0,0.0,0.0,26,0.34,0.9688,0.9688,0.9688,1,0.0,0.0,0.0,3,0.0,432801,432801,0,0,999,0.0,0.0,153.0,4.2491,7.9687,9.2652,0.4154,3,1,1,11029.7238,920,-1.0,0.0,0.0,0.0,0.0,0.024,999999.0,0.024,2.263,11.3235,0.0226,0.0,0.0,0.0,0.0,False,0,7,False,7,17.0,0.0,33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92106
27,27,213,213,71,3.0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,0,0,0,0,0,0.0,0.0,0.0,12,8.65,21.2947,21.2947,21.2947,1,0.0,0.0,0.0,3,0.0,414901,423101,0,0,999,0.0,0.0,88.0,2.0399,0.855,6.2319,0.0032,2,1,1,4535.6464,4124,-1.0,0.0,0.0,0.0,0.0,999999.0,999999.0,0.863,4.211,11.6223,0.02141,0.0,0.0,3.3341629607367094,10.002488882210129,False,0,213,False,0,0.2817602502031022,0.2598049060314319,104,71,71,0,0,71,0,0,3,4,5,5,2,9,8,11,11,91977
28,28,34,34,24,1.4167,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,18,1,0,0,0,0,0,0.0,0.0,0.0,15,1.1,2.2878,2.2878,2.2878,1,2.463,13.274,89.076,1,170.0,432801,432801,0,0,3,0.0,14.0,139.0,25.0521,41.0904,42.7141,1.3876,3,3,3,53634.9339,2099,-1.0,0.0,0.0,0.0,0.0,0.177,0.371,0.177,0.371,9.781,0.02205,0.0,3.0,10.490427484920012,14.861438936970016,True,0,42,True,8,7.867820613690008,4.495897493537148,28,25,0,25,0,0,24,0,1,2,2,3,4,2,3,2,2,92101
29,29,35,35,19,1.8421,0,0,1,0,0,0,1,0,92,5,0,0,0,0,0,0,0,0,0,18,1,26,143,2,418,0,0,0,0,0.0,0.0,0.0,8,4.11,3.0702,3.0702,3.0702,1,0.0,0.0,0.0,3,0.0,432801,432801,0,0,3,0.0,0.0,247.0,11.024,5.3661,21.3347,0.307,3,1,3,17088.5173,2453,-1.0,0.0,0.0,0.0,0.0,0.096,0.661,0.096,0.661,6.3682,0.02455,0.0,0.0,6.188521920396066,11.399908800729595,False,0,151,False,116,46.57677024298091,5.462707621090354,6,20,0,20,0,0,19,0,1,2,2,3,3,4,1,1,1,92116
30,30,209,209,70,2.9857,0,0,35,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,10,16,3,0,0,0,0,0,0.0,1.419,0.0,4,10.11,8.7997,8.7997,8.7978,1,0.0,0.0,0.0,3,0.0,432801,432801,0,0,999,0.0,0.0,24.0,2.6959,1.0817,7.6133,0.0,1,1,1,5564.7775,3015,-1.0,0.0,0.0,0.0,0.0,999999.0,999999.0,1.951,3.326,1.5403,0.02898,0.18955,3.0,7.954816641476414,23.750809686693866,False,0,211,False,2,1.8182438037660376,1.4799658867863097,140,72,72,0,0,70,0,0,0,2,3,0,2,3,8,7,10,92131
31,31,501,501,178,2.8146,0,0,12,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,29,12,53,2,0,0,0,0,0,0.0,0.0,0.0,8,3.45,21.2046,21.2046,21.2046,1,0.0,0.0,0.0,3,0.0,432801,432801,0,2,3,0.0,0.0,223.0,12.2688,8.0624,27.9474,1.2371,3,1,3,23046.2947,2477,-1.0,0.0,0.0,0.0,0.0,0.09,0.26,0.09,0.26,7.4867,0.02415,0.0,0.0,8.394404987597031,23.6269488695849,False,0,502,False,12,2.499457664846307,1.9259890231283232,6,188,13,175,0,13,165,0,5,21,20,41,11,30,7,15,16,92104
32,32,219,219,80,2.7375,0,0,15,0,0,0,1,3,16,0,0,0,0,0,0,0,0,0,0,1,9,17,47,2,412,0,0,0,0,0.0,0.0,0.0,26,0.31,9.8694,9.8694,9.8694,1,0.0,0.0,0.0,3,0.0,432801,432801,0,0,999,0.0,0.0,127.0,3.5289,11.7306,9.7322,0.5084,2,2,1,13736.1785,1132,-1.0,0.0,0.0,0.0,0.0,0.316,999999.0,0.316,1.469,10.4814,0.02268,0.0,0.0,8.105862565100209,22.18979877196182,False,0,240,False,21,4.762194256996373,2.9998074059819673,234,89,63,26,0,58,22,0,4,2,5,9,9,10,12,6,8,92106
33,33,55,55,22,2.5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,13,2,0,0,0,0,0,0.0,0.0,0.0,10,0.38,5.2375,5.2375,5.2375,1,2.14,5.391,17.273,2,62.5062,431101,431101,0,0,999,0.0,0.0,171.0,3.8881,7.8046,9.3644,0.6383,3,1,1,10988.1598,1578,-1.0,0.0,0.0,0.0,0.0,0.298,999999.0,0.298,2.623,12.1198,0.02197,0.0,0.0,4.200477326968974,10.501193317422434,False,0,55,False,0,2.4821002386634845,1.5601772928741904,94,24,24,0,0,22,0,0,0,0,3,1,1,1,1,2,3,92118
34,34,266,266,95,2.8,0,0,0,0,0,0,11,5,0,20,0,0,0,0,0,0,0,0,0,0,6,18,60,5,0,0,0,0,0,0.0,0.0,0.0,13,12.24,3.5574,3.5574,3.5574,1,0.0,0.0,0.0,3,0.0,411201,423101,0,0,999,0.0,0.0,108.0,8.3017,14.0467,25.2075,0.4358,2,2,2,25122.6693,4315,-1.0,0.0,0.0,0.0,0.0,0.147,999999.0,0.147,1.215,9.8636,0.02336,0.0,0.0,26.704896834766966,74.7737111373475,False,0,302,False,36,16.866250632484398,10.337379419909793,112,100,0,100,0,0,95,0,6,6,10,25,16,12,10,3,7,92020
35,35,50,50,19,2.6316,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,14,5,0,0,0,0,0,0.0,0.0,0.0,13,9.34,11.8323,11.8323,11.8323,1,0.0,0.0,0.0,3,0.0,414901,423101,0,0,999,0.0,0.0,29.0,1.2742,0.7495,3.2329,0.0,1,1,1,2548.7459,4057,-1.0,0.0,0.0,0.0,0.0,999999.0,999999.0,1.127,1.819,9.4211,0.02241,0.0,3.0,1.6057740253374237,4.22572111930901,False,0,51,False,1,1.1832019134065228,0.6812374652946647,105,20,20,0,0,19,0,0,0,0,1,0,0,2,2,4,3,91941
36,36,0,0,0,0.0,0,0,0,106,0,0,771,62,5,18,1,4,0,0,11,15,0,0,0,27,0,116,1136,1,0,0,0,0,0,0.0,0.0,0.0,15,0.84,2.5083,2.5083,2.5083,1,4.982,21.878,141.228,1,257.0,432801,432801,0,0,3,0.0,14.0,202.0,24.43,115.2202,43.9893,2.8062,3,3,3,101894.1085,1901,-1.0,0.0,0.0,0.0,0.0,0.051,0.051,0.051,0.051,9.7787,0.02295,0.0,0.0,0.0,0.0,True,0,989,True,1020,452.896384005103,0.0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92101
37,37,113,113,38,2.9737,0,0,6,0,0,0,0,0,57,1,0,0,1,0,0,0,0,0,0,0,3,20,82,3,0,0,0,0,0,0.0,0.0,0.0,4,13.3,4.3928,4.3928,4.3928,1,0.0,0.0,0.0,3,0.0,432001,432001,0,0,999,0.0,0.0,61.0,2.6576,1.7268,8.1247,0.0405,1,1,1,6304.936,3731,-1.0,0.0,0.0,0.0,0.0,0.141,999999.0,0.141,3.115,3.1412,0.0207,0.12781,0.0,8.650519031141869,25.723911855763976,False,0,171,False,59,18.666909488253506,5.91118800461361,129,38,38,0,0,38,0,0,0,4,5,4,2,4,5,4,4,92064
38,38,149,149,67,2.2239,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,10,16,2,0,0,0,0,0,0.0,0.0,0.0,8,4.19,4.1917,4.1917,4.1917,1,0.0,0.0,0.0,3,0.0,432801,432801,0,0,3,0.0,0.0,248.0,13.0715,7.0816,29.9302,0.2976,3,1,3,23687.5589,2538,-1.0,0.0,0.0,0.0,0.0,0.069,0.213,0.069,0.213,6.7737,0.02475,0.0,0.0,15.983968318343393,35.546437006465155,False,0,150,False,1,3.8170670610969295,3.081246904740895,6,77,32,45,0,23,44,0,2,7,7,7,7,6,9,7,10,92105
39,39,6,6,2,3.0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,330,4,0,0,0,0,0,0.0,0.0,0.0,11,1.84,5.5902,5.5902,5.5902,1,0.0,0.0,0.0,3,0.0,419001,425901,0,0,999,0.0,0.0,69.0,4.9721,2.1593,14.7848,0.0096,1,1,1,10844.2153,2725,-1.0,0.0,0.0,0.0,0.0,0.297,1.043,0.297,1.043,19.9939,0.02155,0.0,3.0,0.3577689528102751,1.0733068584308254,False,0,326,False,320,59.031877213695395,0.3556137181547915,90,2,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,92154
