MAZ,taz
2569,1743
2572,1310
2573,1361
2582,1528
2587,1551
2588,1571
2589,1361
2593,1312
2598,1571
2599,1505
2607,1932
2610,1551
2611,1757
2612,1835
2614,1136
2618,866
2620,1539
2624,1828
2627,1620
2632,1445
2633,1821
2636,729
2639,908
2641,2145
2648,1282
2649,1080
2651,1973
2655,1131
2657,2108
2658,2130
2661,1076
2669,990
2676,1240
2677,1919
2687,1221
2694,1964
2697,1620
2700,983
2701,1676
2702,2144
2705,1773
2727,1656
2728,1672
2729,1781
2730,1355
2732,2253
2739,948
2744,1527
2746,1574
2756,2114
2757,1703
2758,1092
2765,1499
2768,2004
2779,1448
2781,1804
2784,1978
2787,1900
2788,1661
2793,774
2794,1912
2796,1571
2797,1527
2798,1250
2800,1883
2801,2095
2815,1697
2822,1944
2832,1932
2834,1712
2835,1757
2836,1983
2838,1723
2841,1684
2857,1689
2860,1868
2862,926
2864,2106
2870,1867
2874,2201
2881,1862
2883,1981
2887,1947
2888,1677
2889,1862
2891,1319
2894,1453
2896,1737
2903,1980
2906,1248
2918,1806
2929,1839
2930,2095
2931,2095
2942,1676
2944,1703
2945,1528
2946,1061
2964,1808
2967,2169
2970,729
2971,1208
2976,2130
2977,2252
2984,1620
2985,1528
2992,1921
2994,1858
2997,1470
2999,1527
3000,2098
3010,1221
3014,1076
3025,2252
3028,2110
3029,2042
3030,1620
3032,1823
3039,1940
3040,2081
3041,1831
3051,1838
3055,1687
3057,1834
3059,1772
3072,1856
3074,2130
3078,2018
3079,1361
3080,2074
3083,1528
3090,983
3096,1607
3098,2145
3099,2145
3108,1505
3109,1505
3111,1403
3112,1817
3115,1816
3119,1415
3127,900
3128,1125
3136,1586
3138,1325
3139,1092
3144,1834
3147,1499
3149,526
3150,1748
3156,1571
3159,1312
3160,1586
3161,1455
3163,1574
3168,1854
3169,1862
3171,1103
3175,1453
3177,1732
3179,1925
3194,1451
3197,1674
3198,2013
3200,2204
3201,1571
3202,1237
3203,2204
3219,1198
3220,1527
3225,2055
3227,1080
3233,1582
3236,1179
3243,1812
3246,1076
3247,1817
3254,1835
3255,1310
3264,1374
3270,2095
3271,729
3276,808
3277,1282
3282,1979
3288,1382
3293,1882
3294,1136
3303,2019
3304,2144
3307,1689
3311,1154
3312,1727
3313,1551
3317,774
3319,2129
3320,808
3326,1893
3331,1761
3341,1679
3342,1658
3343,1527
3346,1425
3350,1894
3359,1742
3367,825
3371,1691
3381,1572
3384,1221
3386,1620
3388,2039
3395,2126
3396,2126
3404,1527
3406,1925
3409,1924
3410,1927
3419,2110
3423,570
3424,1714
3426,1707
3427,1730
3435,1594
3445,1312
3448,1332
3450,2013
3455,1686
3462,2129
3468,1636
3469,1608
3470,1854
3472,1206
3474,1403
3478,1779
3486,941
3488,1799
3489,1221
3504,1688
3505,1383
3513,1079
3514,1755
3523,1816
3528,1797
3531,1902
3532,812
3533,926
3539,1551
3546,570
3549,1136
3552,2129
3559,1518
3567,2252
3576,1629
3583,1946
3586,2144
3588,1355
3590,2052
3596,1551
3597,1492
3601,1804
3602,1862
3603,1689
3610,1711
3622,983
3634,1551
3639,1817
3640,2110
3645,1658
3651,1950
3652,1601
3653,1962
3658,1453
3659,1499
3662,2204
3667,1912
3673,2159
3677,1813
3680,941
3690,2252
3693,1807
3695,1572
3697,1779
3699,1857
3700,1574
3701,2251
3709,2114
3710,1703
3715,948
3724,1858
3725,1817
3730,1453
3741,526
3745,1278
3748,1431
3749,1451
3751,1932
3752,1816
3753,1820
3754,1820
3755,1629
3766,1119
3769,1371
3770,1415
3771,1411
3772,1524
3773,702
3774,702
3775,789
3776,849
3777,849
3779,1153
3781,1278
3850,1288
3877,2145
3886,1411
4021,1076
4022,1221
4026,1076
4091,1120
4092,1012
4093,665
4121,2064
4156,878
4158,823
4159,823
4163,990
4165,889
4168,1657
4169,1651
4170,1630
4171,1611
4172,1827
4173,1950
4174,2050
4175,1879
4176,1766
4177,2067
4198,1916
4199,2026
4200,2210
4201,2210
4202,2130
4203,2144
4204,2199
4233,570
4241,1433
4242,1455
4243,1411
4244,1423
4257,1368
4258,1266
4259,1266
4260,1300
4261,1442
4262,1371
4263,1405
4264,1498
4265,1498
4266,1498
4267,1544
4268,1561
4269,1569
4271,1549
4272,1465
4273,1361
4274,1310
4275,1310
4276,811
4298,1626
4299,1602
4300,1607
4301,1607
4302,1607
4303,1502
4304,1470
4308,1348
4309,1348
4310,1348
4311,1348
4312,1472
4314,1250
4315,1119
4316,1281
4353,1494
4365,1494
4366,1617
4368,1175
4387,1023
4388,1023
4389,774
4392,962
4393,809
4394,814
4419,966
4420,916
4584,2134
4588,1012
4592,1299
4621,1819
4655,1383
4656,1293
4657,1293
4658,1282
4680,1459
4739,1252
4740,1113
4785,1103
4786,1332
4787,1439
4788,1195
4857,1450
4858,1524
4859,1524
4860,1404
4861,1404
4864,978
4865,978
4900,2113
4905,1320
4906,561
4910,1562
4915,1403
4923,1874
4924,1136
4929,1381
4953,1721
4957,1016
4966,1586
4971,2199
4972,2013
4979,1039
4993,1179
5011,1142
5024,1277
5029,1159
5032,1987
5034,1108
5049,1544
5054,1086
5057,680
5067,1179
5070,1320
5072,1417
5086,1439
5089,916
5101,686
5106,1574
5113,1385
5116,1403
5126,1932
5128,1987
5132,1607
5140,1448
5143,1806
5145,1308
5152,948
5158,1938
5159,1920
5163,892
5167,570
5177,1403
5190,1019
5191,1388
5192,1740
5221,1363
5225,2178
5228,1461
5235,941
5237,1628
5242,510
5245,1648
5256,1359
5272,1359
5274,1586
5286,1391
5287,1737
5288,2059
5289,1450
5303,1610
5307,1376
5309,1445
5334,1637
5337,1508
5341,2013
5342,1933
5343,1255
5344,510
5348,981
5351,2086
5356,2067
5359,948
5360,1700
5368,2169
5369,1455
5397,2253
5433,1626
5440,1023
5445,1328
5458,1102
5469,2159
5478,1332
5485,2133
5493,1805
5494,2000
5495,1949
5496,774
5500,1411
5503,1814
5509,1677
5525,1237
5527,809
5538,519
5542,1405
5548,1072
5555,1347
5556,1278
5561,841
5565,1701
5572,1165
5574,2169
5581,1376
5583,1677
5599,1149
5613,1252
5615,2112
5619,1610
5624,1280
5625,1996
5626,1049
5629,1760
5654,1119
5665,706
5667,1391
5681,1594
5682,898
5683,1518
5694,1297
5696,1442
5710,1704
5716,954
5721,1502
5722,1272
5729,1207
5735,1240
5736,1992
5740,1196
5741,1195
5747,1433
5750,1381
5759,1221
5760,1521
5761,1539
5767,1349
5769,2243
5770,1208
5780,1290
5782,1180
5786,1347
5801,1800
5802,1240
5803,1334
5812,679
5815,1669
5820,878
5821,1761
5823,1625
5843,1039
5852,1016
5857,1032
5858,1125
5883,2254
5894,555
5906,978
5911,1823
5922,1539
5924,1325
5927,966
